name,srid,active,hof,positions,start,end,letter
Bobby Majors,MajoBo20,FALSE,FALSE,DB,1972,1972,M
Joe Majors,MajoJo20,FALSE,FALSE,DB,1960,1960,M
Joel Makovicka,MakoJo00,FALSE,FALSE,FB,1999,2002,M
Siupeli Malamala,MalaSi20,FALSE,FALSE,T-G,1992,1999,M
Rydell Malancon,MalaRy20,FALSE,FALSE,LB,1984,1987,M
Kevin Malast,MalaKe00,FALSE,FALSE,LB,2011,2012,M
Anthony Malbrough,MalbAn20,FALSE,FALSE,DB,2000,2000,M
Harry Malcolm,MalcHa20,FALSE,FALSE,T-G,1929,1929,M
John Malecki,MaleJo00,FALSE,FALSE,G,2012,2012,M
Ben Malena,MaleBe00,FALSE,FALSE,RB,2014,2014,M
Howard Maley,MaleHo20,FALSE,FALSE,HB,1946,1947,M
Bill Malinchak,MaliBi00,FALSE,FALSE,SE-WR,1966,1976,M
Gene Malinowski,MaliGe20,FALSE,FALSE,B,1948,1948,M
Joe Malkovich,MalkJo20,FALSE,FALSE,C,1935,1935,M
Josh Mallard,MallJo20,FALSE,FALSE,DE,2002,2008,M
Wesly Mallard,MallWe20,FALSE,FALSE,LB,2002,2006,M
Ryan Malleck,MallRy02,TRUE,FALSE,TE,2017,2017,M
Ryan Mallett,MallRy00,TRUE,FALSE,QB,2012,2017,M
Fran Mallick,MallFr20,FALSE,FALSE,DE-DT,1965,1965,M
Irvin Mallory,MallIr20,FALSE,FALSE,DB,1971,1971,M
John Mallory,MallJo21,FALSE,FALSE,DB,1968,1971,M
Larry Mallory,MallLa20,FALSE,FALSE,DB,1976,1978,M
Rick Mallory,MallRi20,FALSE,FALSE,G,1985,1988,M
Ray Mallouf,MallRa20,FALSE,FALSE,QB-TB,1941,1949,M
Alfred Malone,MaloAl20,FALSE,FALSE,DE,2005,2008,M
Art Malone,MaloAr00,FALSE,FALSE,RB,1970,1976,M
Benny Malone,MaloBe00,FALSE,FALSE,RB,1974,1979,M
Charley Malone,MaloCh20,FALSE,FALSE,E,1934,1942,M
Darrell Malone,MaloDa20,FALSE,FALSE,DB,1992,1994,M
Grover Malone,MaloGr20,FALSE,FALSE,HB-WB,1920,1923,M
Josh Malone,MaloJo00,TRUE,FALSE,WR,2017,2017,M
Mark Malone,MaloMa00,FALSE,FALSE,QB-WR,1980,1989,M
Ralph Malone,MaloRa20,FALSE,FALSE,DE,1986,1986,M
Robert Malone,MaloRo00,FALSE,FALSE,P,2010,2013,M
Van Malone,MaloVa20,FALSE,FALSE,DB,1994,1997,M
